KEGG_Module	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30
M00004	0.134590639094323	0.139475054775333	0	0	0.105790645879731	0.192088893286009	0	0	0.273512476007678	0.182551883166796	0.5	0.173413018285259	0.5	0.165489608146059	0.224909862295651	0	0.230702690764534	0.218108671689051	0.215265084378281	0.161827458463132	0	0.245659087027028	0.5	0.15102335153705	0	0	0	0	0	0
M00007	0.134590639094323	0.139475054775333	0	0	0.105790645879731	0.192088893286009	0	0	0.273512476007678	0.182551883166796	0.5	0.173413018285259	0.5	0.165489608146059	0.224909862295651	0	0.230702690764534	0.218108671689051	0.215265084378281	0.161827458463132	0	0.245659087027028	0.5	0.15102335153705	0	0	0	0	0	0
M00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00222	0.145703627643397	0.201321791602314	1	0	0	0.138632962738526	1	1	0	0	0	0.0500617398352575	0	0.37537005045624	0.112918447018797	0	0.0651525748150299	0.15741176305387	0.30208793696306	0.216901110775396	1	0.183205084677855	0	0.0726636309128335	0	0	0	0	0	0
M00258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00345	0.292557547083978	0.25986404942351	0	0	0.394209354120269	0.238594625344728	0	0	0.226487523992322	0.317448116833203	0	0.301556111797112	0	0.146825366625821	0.21863091419495	0	0.236721021827952	0.203185446784014	0.133690947140189	0.22972198614917	0	0.162738370634045	0	0.312644833006534	0	0	0	0	0	0
M00580	0.292557547083978	0.25986404942351	0	0	0.394209354120269	0.238594625344728	0	0	0.226487523992322	0.317448116833203	0	0.301556111797112	0	0.146825366625821	0.21863091419495	0	0.236721021827952	0.203185446784014	0.133690947140189	0.22972198614917	0	0.162738370634045	0	0.312644833006534	0	0	0	0	0	0
M00841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
