KEGG_Module	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	NA
M00004	5.45079857420238e-09	2.72539928710119e-09	0	0	2.72539928710119e-09	2.72539928710119e-09	0	0	8.17619786130356e-09	6.81349821775297e-09	5.45079857420238e-09	6.81349821775297e-09	4.08809893065178e-09	9.53889750485416e-09	3.13420918016637e-08	0	3.13420918016637e-08	5.45079857420238e-09	2.45285935839107e-08	9.53889750485416e-09	0	4.08809893065178e-08	1.36269964355059e-08	4.08809893065178e-09	0	0	0	0	0	0	0
M00007	5.45079857420238e-09	2.72539928710119e-09	0	0	2.72539928710119e-09	2.72539928710119e-09	0	0	8.17619786130356e-09	6.81349821775297e-09	5.45079857420238e-09	6.81349821775297e-09	4.08809893065178e-09	9.53889750485416e-09	3.13420918016637e-08	0	3.13420918016637e-08	5.45079857420238e-09	2.45285935839107e-08	9.53889750485416e-09	0	4.08809893065178e-08	1.36269964355059e-08	4.08809893065178e-09	0	0	0	0	0	0	0
M00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00222	5.90086451152184e-09	3.93390967434789e-09	1.96695483717395e-09	0	0	1.96695483717395e-09	1.96695483717395e-09	1.96695483717395e-09	0	0	0	1.96695483717395e-09	0	2.16365032089134e-08	1.57356386973916e-08	0	8.85129676728276e-09	3.93390967434789e-09	3.44217096505441e-08	1.27852064416307e-08	5.90086451152184e-09	3.04877999761962e-08	0	1.96695483717395e-09	0	0	0	0	0	0	0
M00258	1.45671167470844e-08	2.52123174468769e-09	1.68082116312512e-09	2.24109488416683e-09	0	1.68082116312512e-09	1.00849269787507e-08	3.92191604729196e-09	7.56369523406305e-09	9.80479011822989e-09	0	1.03650638392716e-08	0	5.60273721041708e-10	0	0	1.42869798865635e-08	5.60273721041708e-10	7.00342151302135e-09	1.12054744208342e-09	1.12054744208342e-09	2.80136860520854e-09	2.80136860520854e-09	3.08150546572939e-09	0	0	0	0	0	0	0
M00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00345	1.18483147955031e-08	5.07784919807274e-09	0	0	1.01556983961455e-08	3.38523279871516e-09	0	0	6.77046559743032e-09	1.18483147955031e-08	0	1.18483147955031e-08	0	8.4630819967879e-09	3.04670951884365e-08	0	3.2159711587794e-08	5.07784919807274e-09	1.52335475942182e-08	1.35409311948606e-08	0	2.70818623897213e-08	0	8.4630819967879e-09	0	0	0	0	0	0	0
M00580	1.18483147955031e-08	5.07784919807274e-09	0	0	1.01556983961455e-08	3.38523279871516e-09	0	0	6.77046559743032e-09	1.18483147955031e-08	0	1.18483147955031e-08	0	8.4630819967879e-09	3.04670951884365e-08	0	3.2159711587794e-08	5.07784919807274e-09	1.52335475942182e-08	1.35409311948606e-08	0	2.70818623897213e-08	0	8.4630819967879e-09	0	0	0	0	0	0	0
M00841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
